"index","CASE_NO","PETITIONER","RESPONDENT","DATE_OF_JUDGMENT","BENCH","JUDGMENT"
"175","Appeal (civil) 2928 of 2024","Reliance Industries","Oil and Natural Gas Corporation","2024-01-30","Justice M. Roy, Justice H. Chatterjee","J U D G M E N T CIVIL APPEAL NO. 2928 OF 2024. The petitioner challenged a contract termination. The court ruled in favor of Reliance, stating valid contractual obligations."
"176","Appeal (criminal) 4572 of 2023","Nisha Kumar","State of Chhattisgarh","2023-09-14","Justice K. Singh, Justice R. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 4572 OF 2023. The appellant faced charges of theft. The court dismissed the case due to lack of evidence."
"177","Appeal (civil) 3789 of 2024","Larsen & Toubro","Municipal Corporation of Mumbai","2024-03-19","Justice A. Sharma, Justice M. Nair","J U D G M E N T CIVIL APPEAL NO. 3789 OF 2024. The petitioner contested fines for construction violations. The court ruled in favor of L&T, emphasizing compliance with regulations."
"178","Appeal (criminal) 6690 of 2023","Ramesh Prasad","State of Tamil Nadu","2023-06-07","Justice V. Iyer, Justice R. Chatterjee","J U D G M E N T CRIMINAL APPEAL NO. 6690 OF 2023. The appellant was convicted for assault. The court overturned the conviction, citing procedural errors."
"179","Appeal (civil) 4512 of 2024","Mahindra & Mahindra","Ministry of Heavy Industries","2024-05-25","Justice A. Das, Justice H. Nair","J U D G M E N T CIVIL APPEAL NO. 4512 OF 2024. The petitioner challenged government regulations on manufacturing. The court ruled in favor of Mahindra, citing industry compliance."
"180","Appeal (criminal) 1234 of 2023","Sanjay Jain","State of Delhi","2023-03-12","Justice R. Kumar, Justice P. Sharma","J U D G M E N T CRIMINAL APPEAL NO. 1234 OF 2023. The appellant was charged with drug possession. The court acquitted him, citing illegal search procedures."
"181","Appeal (civil) 6778 of 2024","ICICI Bank","Consumer Court","2024-09-15","Justice A. Chatterjee, Justice V. Nair","J U D G M E N T CIVIL APPEAL NO. 6778 OF 2024. The petitioner challenged consumer protection claims. The court ruled in favor of ICICI Bank, emphasizing their compliance with consumer laws."
"182","Appeal (criminal) 8143 of 2023","Sunil Verma","State of Uttar Pradesh","2023-12-01","Justice M. Singh, Justice A. Patel","J U D G M E N T CRIMINAL APPEAL NO. 8143 OF 2023. The appellant faced charges of public disorder. The court acquitted him, citing lack of corroborative evidence."
"183","Appeal (civil) 8453 of 2024","GAIL (India) Limited","Ministry of Petroleum","2024-02-22","Justice K. Patil, Justice R. Bansal","J U D G M E N T CIVIL APPEAL NO. 8453 OF 2024. The petitioner challenged a regulatory compliance directive. The court ruled in favor of GAIL, emphasizing adherence to safety standards."
"184","Appeal (criminal) 2763 of 2023","Ritika Sinha","State of Haryana","2023-08-29","Justice P. Kumar, Justice H. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 2763 OF 2023. The appellant was convicted for fraud. The court acquitted her, citing lack of evidence."
"186","Appeal (civil) 8427 of 2024","Cognizant Technology Solutions","State of Maharashtra","2024-07-13","Justice N. Patil, Justice R. Bhatia","J U D G M E N T CIVIL APPEAL NO. 8427 OF 2024. The petitioner contested a tax dispute. The court ruled in favor of Cognizant, citing incorrect tax assessment."
"187","Appeal (criminal) 5316 of 2023","Anita Desai","State of Himachal Pradesh","2023-10-05","Justice M. Singh, Justice K. Sharma","J U D G M E N T CRIMINAL APPEAL NO. 5316 OF 2023. The appellant was accused of cybercrime. The court acquitted her, finding insufficient evidence."
"188","Appeal (civil) 2668 of 2024","Hindustan Unilever","Food Safety Authority of India","2024-03-09","Justice R. Mehta, Justice A. Patel","J U D G M E N T CIVIL APPEAL NO. 2668 OF 2024. The petitioner challenged a product ban. The court ruled in favor of Hindustan Unilever, citing compliance with safety standards."
"189","Appeal (criminal) 8854 of 2023","Sameer Khan","State of Rajasthan","2023-11-15","Justice A. Iyer, Justice P. Gupta","J U D G M E N T CRIMINAL APPEAL NO. 8854 OF 2023. The appellant faced charges of extortion. The court acquitted him, citing lack of credible evidence."
"190","Appeal (civil) 3312 of 2024","Infosys Limited","Labor Commissioner","2024-06-20","Justice H. Bansal, Justice R. Nair","J U D G M E N T CIVIL APPEAL NO. 3312 OF 2024. The petitioner challenged wage regulation penalties. The court ruled in favor of Infosys, emphasizing fair labor practices."
"191","Appeal (criminal) 1045 of 2023","Aarti Sharma","State of Uttarakhand","2023-05-04","Justice K. Verma, Justice M. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 1045 OF 2023. The appellant was convicted for theft. The court overturned the conviction, citing wrongful identification."
"192","Appeal (civil) 7793 of 2024","HDFC Bank","Consumer Forum","2024-08-11","Justice V. Nair, Justice P. Bhatia","J U D G M E N T CIVIL APPEAL NO. 7793 OF 2024. The petitioner contested service charge claims. The court ruled in favor of HDFC Bank, upholding their fee structure."
"193","Appeal (criminal) 3567 of 2023","Vikram Sethi","State of Punjab","2023-09-25","Justice A. Chatterjee, Justice M. Gupta","J U D G M E N T CRIMINAL APPEAL NO. 3567 OF 2023. The appellant faced drug-related charges. The court acquitted him due to procedural violations in evidence gathering."
"194","Appeal (civil) 4923 of 2024","Bharti Airtel","Telecom Regulatory Authority of India","2024-02-01","Justice R. Bansal, Justice A. Mehta","J U D G M E N T CIVIL APPEAL NO. 4923 OF 2024. The petitioner challenged tariff regulations. The court ruled in favor of Bharti Airtel, affirming their pricing strategy."
"195","Appeal (criminal) 2211 of 2023","Devendra Rao","State of Maharashtra","2023-07-19","Justice M. Sharma, Justice K. Patel","J U D G M E N T CRIMINAL APPEAL NO. 2211 OF 2023. The appellant was accused of bribery. The court acquitted him due to a lack of credible witnesses."
"196","Appeal (civil) 6345 of 2024","Maruti Suzuki","Consumer Court","2024-09-30","Justice R. Patil, Justice V. Iyer","J U D G M E N T CIVIL APPEAL NO. 6345 OF 2024. The petitioner contested consumer claims regarding vehicle defects. The court ruled in favor of Maruti, citing adherence to warranty terms."
"197","Appeal (criminal) 7854 of 2023","Manish Gupta","State of Andhra Pradesh","2023-01-15","Justice H. Chatterjee, Justice R. Singh","J U D G M E N T CRIMINAL APPEAL NO. 7854 OF 2023. The appellant was accused of embezzlement. The court acquitted him, stating there was no direct evidence linking him to the crime."
"198","Appeal (civil) 1246 of 2024","Adani Ports","Environmental Clearance Authority","2024-11-20","Justice P. Bhatia, Justice K. Verma","J U D G M E N T CIVIL APPEAL NO. 1246 OF 2024. The petitioner challenged the denial of an environmental clearance. The court ruled in favor of Adani Ports, emphasizing compliance with environmental laws."
"199","Appeal (criminal) 3098 of 2023","Neha Singh","State of Jharkhand","2023-08-04","Justice R. Kumar, Justice V. Bansal","J U D G M E N T CRIMINAL APPEAL NO. 3098 OF 2023. The appellant was charged with public nuisance. The court dismissed the charges, stating they were unfounded."
"200","Appeal (civil) 8752 of 2024","GSK Pharmaceuticals","State Drug Controller","2024-01-29","Justice V. Iyer, Justice M. Patil","J U D G M E N T CIVIL APPEAL NO. 8752 OF 2024. The petitioner contested a penalty imposed for drug pricing. The court ruled in favor of GSK, highlighting compliance with pricing regulations."
"201","Appeal (criminal) 1642 of 2023","Suresh Kumar","State of Kerala","2023-06-10","Justice A. Bansal, Justice K. Nair","J U D G M E N T CRIMINAL APPEAL NO. 1642 OF 2023. The appellant was convicted for domestic violence. The court overturned the conviction, citing insufficient evidence."
"202","Appeal (civil) 4513 of 2024","Larsen & Toubro","Central Board of Excise and Customs","2024-02-05","Justice H. Sharma, Justice R. Iyer","J U D G M E N T CIVIL APPEAL NO. 4513 OF 2024. The petitioner challenged customs duty assessments. The court ruled in favor of L&T, stating proper valuation was not considered."
"203","Appeal (criminal) 7789 of 2023","Rahul Mehta","State of Chhattisgarh","2023-04-22","Justice R. Singh, Justice V. Kumar","J U D G M E N T CRIMINAL APPEAL NO. 7789 OF 2023. The appellant was charged with assault. The court acquitted him, noting inconsistencies in the victim's testimony."
"204","Appeal (civil) 1027 of 2024","Tata Steel","Environmental Protection Agency","2024-07-16","Justice A. Chatterjee, Justice P. Gupta","J U D G M E N T CIVIL APPEAL NO. 1027 OF 2024. The petitioner challenged an environmental fine. The court ruled in favor of Tata Steel, emphasizing adherence to regulations."
"205","Appeal (criminal) 5678 of 2023","Kiran Joshi","State of Gujarat","2023-12-13","Justice N. Sharma, Justice V. Rao","J U D G M E N T CRIMINAL APPEAL NO. 5678 OF 2023. The appellant was accused of fraud. The court acquitted him, citing lack of evidence and witness credibility."
"206","Appeal (civil) 9481 of 2024","Air India","Consumer Protection Council","2024-03-29","Justice R. Bhatia, Justice K. Sharma","J U D G M E N T CIVIL APPEAL NO. 9481 OF 2024. The petitioner contested compensation claims for flight delays. The court ruled in favor of Air India, affirming operational challenges."
"207","Appeal (criminal) 8823 of 2023","Vijay Singh","State of Assam","2023-11-30","Justice H. Bansal, Justice P. Nair","J U D G M E N T CRIMINAL APPEAL NO. 8823 OF 2023. The appellant faced charges of possession of illegal substances. The court acquitted him, citing insufficient evidence."
"208","Appeal (civil) 4398 of 2024","Sony India","Consumer Affairs Ministry","2024-09-12","Justice K. Verma, Justice R. Iyer","J U D G M E N T CIVIL APPEAL NO. 4398 OF 2024. The petitioner contested consumer complaints regarding defective products. The court ruled in favor of Sony, citing adherence to warranty terms."
"209","Appeal (criminal) 2054 of 2023","Arjun Patel","State of Jharkhand","2023-05-10","Justice A. Mehta, Justice R. Bhatia","J U D G M E N T CRIMINAL APPEAL NO. 2054 OF 2023. The appellant was convicted for robbery. The court overturned the conviction, citing procedural irregularities."
"210","Appeal (civil) 8173 of 2024","Reliance Industries","Ministry of Corporate Affairs","2024-04-26","Justice P. Gupta, Justice V. Kumar","J U D G M E N T CIVIL APPEAL NO. 8173 OF 2024. The petitioner challenged corporate governance penalties. The court ruled in favor of Reliance, stating proper procedures were followed."
"211","Appeal (criminal) 3948 of 2023","Sanjay Verma","State of Punjab","2023-02-15","Justice R. Nair, Justice A. Kumar","J U D G M E N T CRIMINAL APPEAL NO. 3948 OF 2023. The appellant was accused of money laundering. The court acquitted him, citing lack of substantial evidence."
"212","Appeal (civil) 6523 of 2024","Flipkart India","Competition Commission of India","2024-06-19","Justice H. Patil, Justice R. Sharma","J U D G M E N T CIVIL APPEAL NO. 6523 OF 2024. The petitioner contested antitrust claims. The court ruled in favor of Flipkart, affirming fair competition practices."
"213","Appeal (criminal) 5784 of 2023","Tania Mehta","State of Maharashtra","2023-03-07","Justice A. Bansal, Justice V. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 5784 OF 2023. The appellant was convicted for conspiracy. The court overturned the conviction due to lack of direct evidence linking her to the crime."
"214","Appeal (civil) 1206 of 2024","PVR Cinemas","Film Certification Board","2024-05-11","Justice M. Singh, Justice K. Patil","J U D G M E N T CIVIL APPEAL NO. 1206 OF 2024. The petitioner challenged the denial of certification for a film. The court ruled in favor of PVR, emphasizing the importance of creative freedom."
"215","Appeal (criminal) 4592 of 2023","Anjali Desai","State of Telangana","2023-07-22","Justice R. Bansal, Justice N. Gupta","J U D G M E N T CRIMINAL APPEAL NO. 4592 OF 2023. The appellant was convicted for theft. The court overturned the conviction due to procedural errors during the trial."
"216","Appeal (civil) 8451 of 2024","Bharti Airtel","Telecom Regulatory Authority of India","2024-01-15","Justice A. Rao, Justice K. Nair","J U D G M E N T CIVIL APPEAL NO. 8451 OF 2024. The petitioner contested service quality regulations. The court ruled in favor of Airtel, stating compliance with standards."
"217","Appeal (criminal) 2306 of 2023","Nitin Sharma","State of Haryana","2023-10-09","Justice H. Kumar, Justice P. Bhatia","J U D G M E N T CRIMINAL APPEAL NO. 2306 OF 2023. The appellant was charged with harassment. The court acquitted him, citing lack of corroborative evidence."
"218","Appeal (civil) 4739 of 2024","Infosys Limited","Securities Exchange Board of India","2024-08-30","Justice R. Verma, Justice H. Singh","J U D G M E N T CIVIL APPEAL NO. 4739 OF 2024. The petitioner challenged insider trading allegations. The court ruled in favor of Infosys, emphasizing lack of direct evidence."
"219","Appeal (criminal) 3704 of 2023","Ravi Gupta","State of Uttarakhand","2023-02-27","Justice A. Sharma, Justice K. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 3704 OF 2023. The appellant faced charges of drug trafficking. The court acquitted him due to insufficient evidence."
"220","Appeal (civil) 7624 of 2024","Tata Consultancy Services","Labour Court","2024-02-18","Justice V. Sethi, Justice P. Jadhav","J U D G M E N T CIVIL APPEAL NO. 7624 OF 2024. The petitioner challenged a labor court ruling on employee benefits. The court ruled in favor of TCS, citing adherence to labor laws."
"221","Appeal (criminal) 9170 of 2023","Meera Joshi","State of Rajasthan","2023-09-15","Justice H. Patil, Justice A. Bansal","J U D G M E N T CRIMINAL APPEAL NO. 9170 OF 2023. The appellant was convicted of fraud. The court overturned the conviction due to lack of evidence."
"222","Appeal (civil) 2389 of 2024","HDFC Bank","Reserve Bank of India","2024-06-07","Justice M. Sharma, Justice P. Iyer","J U D G M E N T CIVIL APPEAL NO. 2389 OF 2024. The petitioner contested regulatory penalties. The court ruled in favor of HDFC, highlighting compliance with financial norms."
"223","Appeal (criminal) 5601 of 2023","Deepak Agarwal","State of Odisha","2023-05-03","Justice R. Nair, Justice K. Sharma","J U D G M E N T CRIMINAL APPEAL NO. 5601 OF 2023. The appellant faced charges of bribery. The court acquitted him, citing lack of evidence."
"224","Appeal (civil) 3941 of 2024","Paytm Payments Bank","Ministry of Finance","2024-10-05","Justice A. Gupta, Justice K. Reddy","J U D G M E N T CIVIL APPEAL NO. 3941 OF 2024. The petitioner challenged operational restrictions. The court ruled in favor of Paytm, affirming adherence to financial regulations."
"225","Appeal (criminal) 6632 of 2023","Ramesh Rathi","State of Karnataka","2023-01-18","Justice P. Chatterjee, Justice H. Kumar","J U D G M E N T CRIMINAL APPEAL NO. 6632 OF 2023. The appellant was convicted of extortion. The court overturned the conviction, citing procedural improprieties."
"226","Appeal (civil) 1204 of 2024","Ola Cabs","Transport Department","2024-07-22","Justice K. Verma, Justice R. Iyer","J U D G M E N T CIVIL APPEAL NO. 1204 OF 2024. The petitioner contested licensing fees. The court ruled in favor of Ola, emphasizing fair business practices."
"227","Appeal (criminal) 3318 of 2023","Alok Mishra","State of Madhya Pradesh","2023-08-28","Justice V. Sharma, Justice A. Singh","J U D G M E N T CRIMINAL APPEAL NO. 3318 OF 2023. The appellant faced charges of assault. The court acquitted him, noting inconsistencies in the prosecution's case."
"228","Appeal (civil) 5879 of 2024","Zomato","Food Safety Authority","2024-03-15","Justice P. Malhotra, Justice R. Reddy","J U D G M E N T CIVIL APPEAL NO. 5879 OF 2024. The petitioner challenged the imposition of penalties regarding food safety compliance. The court ruled in favor of Zomato, stating that all necessary safety protocols were followed."
"229","Appeal (criminal) 8143 of 2023","Simran Khanna","State of Punjab","2023-12-04","Justice R. Kapoor, Justice K. Nair","J U D G M E N T CRIMINAL APPEAL NO. 8143 OF 2023. The appellant was accused of property fraud. The court acquitted her, citing lack of substantial evidence."
"230","Appeal (civil) 4276 of 2024","Axis Bank","Ministry of Consumer Affairs","2024-09-10","Justice H. Bansal, Justice S. Patil","J U D G M E N T CIVIL APPEAL NO. 4276 OF 2024. The petitioner contested consumer complaint rulings. The court ruled in favor of Axis Bank, affirming the bank's policies."
"231","Appeal (criminal) 4927 of 2023","Suresh Rathi","State of Assam","2023-08-30","Justice A. Singh, Justice P. Verma","J U D G M E N T CRIMINAL APPEAL NO. 4927 OF 2023. The appellant faced charges of assault. The court acquitted him, noting contradictions in the witness statements."
"232","Appeal (civil) 6581 of 2024","Reliance Industries","Environmental Protection Agency","2024-05-22","Justice V. Sethi, Justice A. Reddy","J U D G M E N T CIVIL APPEAL NO. 6581 OF 2024. The petitioner contested environmental compliance fines. The court ruled in favor of Reliance, stating compliance was demonstrated."
"233","Appeal (criminal) 1094 of 2023","Kabir Patel","State of Gujarat","2023-11-01","Justice R. Malhotra, Justice K. Jain","J U D G M E N T CRIMINAL APPEAL NO. 1094 OF 2023. The appellant was accused of drug possession. The court acquitted him due to procedural violations during the arrest."
"234","Appeal (civil) 2843 of 2024","Hindustan Unilever","Consumer Court","2024-02-13","Justice P. Narayan, Justice A. Chatterjee","J U D G M E N T CIVIL APPEAL NO. 2843 OF 2024. The petitioner challenged a consumer ruling on product quality. The court ruled in favor of Hindustan Unilever, highlighting adherence to quality standards."
"235","Appeal (criminal) 6407 of 2023","Karan Mehta","State of Tamil Nadu","2023-03-09","Justice A. Iyer, Justice S. Kumar","J U D G M E N T CRIMINAL APPEAL NO. 6407 OF 2023. The appellant was charged with theft. The court acquitted him due to insufficient evidence and procedural lapses."
"236","Appeal (civil) 7814 of 2024","L&T Construction","Indian Government","2024-01-21","Justice R. Bansal, Justice V. Patil","J U D G M E N T CIVIL APPEAL NO. 7814 OF 2024. The petitioner contested contract disputes. The court ruled in favor of L&T, emphasizing contract enforcement."
"237","Appeal (criminal) 4563 of 2023","Nisha Verma","State of Himachal Pradesh","2023-06-30","Justice K. Sharma, Justice R. Kumar","J U D G M E N T CRIMINAL APPEAL NO. 4563 OF 2023. The appellant faced charges of domestic violence. The court acquitted her, citing lack of credible evidence."
"238","Appeal (civil) 9256 of 2024","Maruti Suzuki","Central Pollution Control Board","2024-07-12","Justice V. Patil, Justice P. Bansal","J U D G M E N T CIVIL APPEAL NO. 9256 OF 2024. The petitioner challenged environmental fines. The court ruled in favor of Maruti, stating all emission norms were met."
"239","Appeal (criminal) 4810 of 2023","Ashok Kumar","State of West Bengal","2023-09-28","Justice P. Nair, Justice R. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 4810 OF 2023. The appellant was convicted for robbery. The court overturned the conviction due to lack of corroborative evidence."
"240","Appeal (civil) 1392 of 2024","Cognizant Technology Solutions","Labor Ministry","2024-04-20","Justice H. Sharma, Justice S. Gupta","J U D G M E N T CIVIL APPEAL NO. 1392 OF 2024. The petitioner contested labor law violations. The court ruled in favor of Cognizant, affirming compliance with labor regulations."
"241","Appeal (criminal) 5783 of 2023","Geeta Mehra","State of Maharashtra","2023-02-14","Justice K. Iyer, Justice R. Bhatia","J U D G M E N T CRIMINAL APPEAL NO. 5783 OF 2023. The appellant was charged with fraud. The court acquitted her, noting inconsistencies in witness testimonies."
"242","Appeal (civil) 2043 of 2024","Wipro Limited","Telecommunications Regulatory Authority","2024-08-05","Justice R. Joshi, Justice H. Kapoor","J U D G M E N T CIVIL APPEAL NO. 2043 OF 2024. The petitioner challenged telecom regulations impacting service fees. The court ruled in favor of Wipro, allowing for fee adjustments."
"243","Appeal (criminal) 6790 of 2023","Priya Sharma","State of Rajasthan","2023-10-17","Justice A. K. Gupta, Justice P. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 6790 OF 2023. The appellant faced charges of public disturbance. The court acquitted her, citing lack of credible witnesses."
"244","Appeal (civil) 3002 of 2024","Infosys","Indian Income Tax Department","2024-01-30","Justice V. Kumar, Justice R. Patil","J U D G M E N T CIVIL APPEAL NO. 3002 OF 2024. The petitioner contested tax assessments. The court ruled in favor of Infosys, affirming their tax deductions."
"245","Appeal (criminal) 8901 of 2023","Rahul Singh","State of Jharkhand","2023-12-10","Justice K. Sharma, Justice A. Desai","J U D G M E N T CRIMINAL APPEAL NO. 8901 OF 2023. The appellant was convicted of theft. The court overturned the conviction, citing procedural errors."
"246","Appeal (civil) 4185 of 2024","ICICI Bank","Consumer Protection Forum","2024-06-18","Justice A. Bansal, Justice P. Verma","J U D G M E N T CIVIL APPEAL NO. 4185 OF 2024. The petitioner challenged consumer complaints regarding service fees. The court ruled in favor of ICICI Bank, affirming their fee structure."
"247","Appeal (criminal) 2037 of 2023","Anil Kumar","State of Odisha","2023-05-15","Justice R. Jain, Justice K. Rao","J U D G M E N T CRIMINAL APPEAL NO. 2037 OF 2023. The appellant was accused of embezzlement. The court acquitted him due to insufficient evidence."
"248","Appeal (civil) 5078 of 2024","Mahindra & Mahindra","Ministry of Heavy Industries","2024-02-25","Justice H. Patil, Justice S. Chatterjee","J U D G M E N T CIVIL APPEAL NO. 5078 OF 2024. The petitioner contested regulatory compliance issues. The court ruled in favor of Mahindra, citing their adherence to regulations."
"249","Appeal (criminal) 6129 of 2023","Sanjay Verma","State of Kerala","2023-09-29","Justice P. Bhatia, Justice K. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 6129 OF 2023. The appellant was accused of fraud. The court found him not guilty due to lack of evidence."
"250","Appeal (civil) 7592 of 2024","Tata Steel","Environmental Protection Agency","2024-04-15","Justice A. Reddy, Justice V. Sethi","J U D G M E N T CIVIL APPEAL NO. 7592 OF 2024. The petitioner challenged environmental compliance fines. The court ruled in favor of Tata Steel, confirming compliance with environmental standards."
"251","Appeal (criminal) 8742 of 2023","Rita Bansal","State of Chhattisgarh","2023-11-20","Justice K. Sharma, Justice P. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 8742 OF 2023. The appellant faced charges of money laundering. The court acquitted her, noting the lack of clear evidence linking her to the crime."
"252","Appeal (civil) 9811 of 2024","Larsen & Toubro","Central Government","2024-07-28","Justice V. Patil, Justice S. Gupta","J U D G M E N T CIVIL APPEAL NO. 9811 OF 2024. The petitioner contested a government contract dispute. The court ruled in favor of Larsen & Toubro, emphasizing contract enforcement."
"253","Appeal (criminal) 2403 of 2023","Meena Thakur","State of Uttarakhand","2023-01-15","Justice H. Iyer, Justice P. Nair","J U D G M E N T CRIMINAL APPEAL NO. 2403 OF 2023. The appellant was charged with assault. The court acquitted her, citing a lack of credible witnesses."
"254","Appeal (civil) 7456 of 2024","HDFC Bank","Consumer Dispute Forum","2024-03-22","Justice P. Chatterjee, Justice K. Desai","J U D G M E N T CIVIL APPEAL NO. 7456 OF 2024. The petitioner challenged consumer complaints regarding loan terms. The court ruled in favor of HDFC Bank, upholding their loan policies."
"255","Appeal (criminal) 3085 of 2023","Raghav Sharma","State of Madhya Pradesh","2023-02-26","Justice R. Kumar, Justice H. Rao","J U D G M E N T CRIMINAL APPEAL NO. 3085 OF 2023. The appellant was accused of drug possession. The court acquitted him due to lack of reliable evidence."
"256","Appeal (civil) 6427 of 2024","Bajaj Auto","Ministry of Commerce","2024-05-12","Justice R. Sharma, Justice N. Patil","J U D G M E N T CIVIL APPEAL NO. 6427 OF 2024. The petitioner challenged import tariffs on auto parts. The court ruled in favor of Bajaj Auto, citing international trade agreements."
"257","Appeal (criminal) 4598 of 2023","Sameer Khan","State of Tamil Nadu","2023-09-03","Justice V. Iyer, Justice S. Reddy","J U D G M E N T CRIMINAL APPEAL NO. 4598 OF 2023. The appellant faced charges of cybercrime. The court acquitted him, emphasizing insufficient evidence."
"258","Appeal (civil) 7730 of 2024","Tata Consultancy Services","Employee Welfare Board","2024-01-14","Justice A. Bhatia, Justice K. Desai","J U D G M E N T CIVIL APPEAL NO. 7730 OF 2024. The petitioner challenged labor regulations regarding employee benefits. The court ruled in favor of TCS, affirming compliance."
"259","Appeal (criminal) 8120 of 2023","Vinay Gupta","State of West Bengal","2023-06-29","Justice P. Chatterjee, Justice H. Raghav","J U D G M E N T CRIMINAL APPEAL NO. 8120 OF 2023. The appellant was accused of bribery. The court acquitted him due to lack of direct evidence."
"260","Appeal (civil) 4563 of 2024","Air India","Consumer Rights Association","2024-02-10","Justice R. Singh, Justice K. Bhattacharya","J U D G M E N T CIVIL APPEAL NO. 4563 OF 2024. The petitioner contested claims of service failure. The court ruled in favor of Air India, affirming their service policies."
"261","Appeal (criminal) 3912 of 2023","Lata Menon","State of Maharashtra","2023-03-18","Justice V. Reddy, Justice S. Awasthi","J U D G M E N T CRIMINAL APPEAL NO. 3912 OF 2023. The appellant was accused of assault. The court acquitted her due to self-defense."
"262","Appeal (civil) 1745 of 2024","Hindustan Aeronautics","Ministry of Defense","2024-07-19","Justice A. Patil, Justice P. Joshi","J U D G M E N T CIVIL APPEAL NO. 1745 OF 2024. The petitioner challenged contract terms for defense procurement. The court ruled in favor of HAL, emphasizing contractual fairness."
"263","Appeal (criminal) 3204 of 2023","Mohit Verma","State of Haryana","2023-12-05","Justice R. Kumar, Justice S. Sharma","J U D G M E N T CRIMINAL APPEAL NO. 3204 OF 2023. The appellant was accused of drug trafficking. The court acquitted him, citing lack of reliable evidence."
"264","Appeal (civil) 6921 of 2024","Reliance Industries","Petroleum Regulatory Authority","2024-03-28","Justice H. Kapoor, Justice A. Reddy","J U D G M E N T CIVIL APPEAL NO. 6921 OF 2024. The petitioner contested regulatory penalties. The court ruled in favor of Reliance, affirming compliance with safety regulations."
"265","Appeal (criminal) 5023 of 2023","Arjun Rao","State of Jammu & Kashmir","2023-04-30","Justice S. Bhat, Justice P. Sharma","J U D G M E N T CRIMINAL APPEAL NO. 5023 OF 2023. The appellant was charged with public disorder. The court acquitted him due to lack of evidence."
"266","Appeal (civil) 8654 of 2024","Godrej Consumer Products","National Advertising Standards Board","2024-06-11","Justice K. Nair, Justice A. Rao","J U D G M E N T CIVIL APPEAL NO. 8654 OF 2024. The petitioner contested advertising guidelines. The court ruled in favor of Godrej, affirming their advertising practices."
"267","Appeal (criminal) 7038 of 2023","Kiran Malhotra","State of Andhra Pradesh","2023-08-22","Justice H. Patel, Justice P. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 7038 OF 2023. The appellant was accused of theft. The court acquitted her, citing insufficient evidence."
"268","Appeal (civil) 3401 of 2024","L&T Construction","State Contracting Authority","2024-09-01","Justice A. Joshi, Justice R. Bansal","J U D G M E N T CIVIL APPEAL NO. 3401 OF 2024. The petitioner challenged a contracting dispute. The court ruled in favor of L&T, upholding their contract terms."
"269","Appeal (criminal) 8125 of 2023","Deepak Sharma","State of Uttarakhand","2023-11-05","Justice K. Reddy, Justice P. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 8125 OF 2023. The appellant faced charges of assault. The court acquitted him, citing self-defense."
"270","Appeal (civil) 9012 of 2024","Maruti Suzuki","Automobile Regulatory Authority","2024-07-15","Justice A. Sharma, Justice P. Joshi","J U D G M E N T CIVIL APPEAL NO. 9012 OF 2024. The petitioner contested emissions standards compliance. The court ruled in favor of Maruti Suzuki, validating their compliance measures."
"271","Appeal (criminal) 4852 of 2023","Suresh Gupta","State of Punjab","2023-02-27","Justice V. Singh, Justice A. Patel","J U D G M E N T CRIMINAL APPEAL NO. 4852 OF 2023. The appellant was charged with tax evasion. The court acquitted him, emphasizing the absence of credible evidence."
"272","Appeal (civil) 6349 of 2024","Infosys","Employee Association","2024-04-20","Justice S. Chatterjee, Justice R. Kapoor","J U D G M E N T CIVIL APPEAL NO. 6349 OF 2024. The petitioner contested labor law violations regarding employee rights. The court ruled in favor of Infosys, affirming compliance with labor standards."
"273","Appeal (criminal) 7390 of 2023","Poonam Rathi","State of Rajasthan","2023-05-11","Justice R. Agarwal, Justice H. Bansal","J U D G M E N T CRIMINAL APPEAL NO. 7390 OF 2023. The appellant was accused of fraud. The court acquitted her, citing lack of substantial evidence."
"274","Appeal (civil) 5432 of 2024","HDFC Bank","Reserve Bank of India","2024-10-02","Justice K. Mehta, Justice P. Joshi","J U D G M E N T CIVIL APPEAL NO. 5432 OF 2024. The petitioner challenged RBI regulations on banking fees. The court ruled in favor of HDFC Bank, affirming their fee structures."
"275","Appeal (criminal) 1937 of 2023","Rajesh Yadav","State of Madhya Pradesh","2023-08-15","Justice A. Raghav, Justice K. Sharma","J U D G M E N T CRIMINAL APPEAL NO. 1937 OF 2023. The appellant was charged with burglary. The court acquitted him due to insufficient evidence."
"276","Appeal (civil) 7894 of 2024","Cognizant Technology Solutions","IT Employees Union","2024-08-05","Justice M. Singh, Justice N. Iyer","J U D G M E N T CIVIL APPEAL NO. 7894 OF 2024. The petitioner faced claims regarding employee compensation. The court ruled in favor of Cognizant, validating their compensation practices."
